id,POSITION_X,POSITION_Y,FRAME,ESTIMATED_DIAMETER
3,25.681,16,95,3.62
3,26,15.5,96,2.1
3,26.875,14.851,97,3.62
3,27.854,14.467,98,3.722
3,27.057,14.207,99,3.723
3,27.51,13.704,100,3.619
3,27.923,14.811,101,3.62
3,27.681,15,102,3.62
3,28.343,15.667,103,4.707
3,27.347,16.453,104,3.618
3,26.92,16.38,105,3.722
3,26.723,15.675,106,2.1
3,26.319,16,107,3.62
3,25.863,15.353,108,3.683
3,25.943,15.207,109,3.723
3,25.045,15.011,110,2.1
3,25.071,14.666,111,3.723
3,25.709,15.138,112,3.723
3,25.921,15.101,113,3.619
3,25.227,15.099,114,2.1
3,24.803,15.526,115,3.722
3,24.92,15.62,116,3.722
3,24.847,16.211,117,3.724
3,25.277,15.675,118,2.1
3,25.927,14.939,119,3.62
3,26.673,14.955,120,3.618
3,27.351,15.363,121,2.1
3,27.709,15.138,122,3.723
3,27.509,15.438,123,4.794
4,36.168,22.104,0,4.772
4,35.678,21.791,1,3.722
4,34.738,22.382,2,4.708
4,34.436,21.238,3,2.1
4,34.509,20.734,4,3.722
4,34.127,20.662,5,4.794
4,34.006,20.5,6,4.763
4,34.218,18.708,7,4.707
4,34.6,18.365,8,4.794
4,34.757,18.757,9,4.582
4,34.788,19.409,10,3.722
4,33.673,19.955,11,3.618
4,33.516,19.789,12,2.1
4,33.829,19.8,13,3.618
4,33.613,19.403,14,3.618
4,32.938,20.062,15,3.912
4,32.949,19.698,16,4.708
4,32.353,19.081,17,4.685
4,32.625,19.467,18,3.722
4,33.11,19.789,19,4.794
4,32.628,20.48,20,4.707
4,32.638,20.312,21,3.619
4,32.793,20.714,22,3.721
4,32.986,20.946,23,3.618
4,33.506,20.643,24,4.705
4,33.882,20.418,25,4.763
4,33,19.883,26,3.62
4,33.226,19.503,27,4.763
4,32.5,20,28,3.619
4,31.634,19.406,29,2.1
4,32.474,19.803,30,3.722
4,31.353,19.178,31,3.547
4,29.98,19.934,32,3.551
4,30.378,20.229,33,4.794
4,30.873,19.257,34,4.708
4,31.498,19.185,35,2.1
4,31.136,19,36,3.55
4,30.622,18.868,37,3.619
4,31.673,18.955,38,3.618
4,31.891,20.058,39,2.1
4,32.075,20.24,40,4.763
4,32.105,20.367,41,2.1
4,32.681,21,42,3.62
4,32.874,20.745,43,4.707
4,32.348,20.759,44,3.722
4,31.86,20.752,45,4.739
4,31.76,20.444,46,4.794
4,32.03,19.566,47,4.762
4,32.148,19.315,48,4.814
4,31.952,19.167,49,4.74
4,32.694,19.128,50,4.772
4,31.86,19.248,51,4.739
4,32.128,19.484,52,4.794
4,31.834,19.631,53,2.1
4,31.794,19.137,54,3.548
4,31.965,18.752,55,3.722
4,32.681,19.052,56,3.618
4,33.738,18.637,57,4.794
4,33.348,18.641,58,4.822
4,34.929,18.666,59,3.723
4,35.482,18.515,60,3.617
4,36,18.744,61,3.723
4,35.893,19.429,62,4.794
4,35.844,20,63,4.794
4,35.416,19.64,64,2.1
4,36.077,18.887,65,4.821
4,35.946,19.255,66,4.794
4,35.796,20.084,67,4.822
4,35.774,20.031,68,4.74
4,35.893,20.429,69,4.794
4,36.476,20.96,70,3.619
4,37.071,21.192,71,4.708
4,36.507,21.866,72,2.1
4,36.689,21.107,73,3.62
4,37.379,20.579,74,3.618
4,37.738,21.382,75,4.708
4,37.852,21.315,76,4.814
4,37.766,22.094,77,4.685
4,38.257,22.852,78,4.74
4,37.241,23.464,79,4.762
4,36.372,22.52,80,4.707
4,37.08,22.62,81,3.722
4,37.174,22.432,82,4.839
4,36.844,22.208,83,4.772
4,37.986,22.391,84,4.794
4,38.214,21.764,85,4.763
4,38.204,21.611,86,4.705
4,37.906,21.383,87,4.684
4,38.466,21.877,88,4.739
4,37.994,22.5,89,4.763
4,38.304,22.486,90,4.794
4,38.057,23.207,91,3.723
4,38.476,22.524,92,4.794
4,38.482,22.485,94,3.617
4,38.296,22.49,95,3.619
4,38.49,22.296,96,3.619
4,38.262,22.382,97,4.708
4,39.251,22.168,98,4.048
4,39.589,22.589,99,4.794
4,39.707,21.866,100,2.1
4,39.55,21.477,101,3.683
4,39.901,21.923,102,3.55
4,39.738,22.382,103,4.708
4,39.253,22.401,104,4.763
4,39.786,22.236,105,4.763
4,40.874,21.237,106,2.1
4,41.39,20.558,107,4.763
4,41.304,20.919,108,3.618
4,40.647,21.295,109,4.707
4,40.925,20.76,110,4.763
4,40.85,21.022,111,4.739
4,41.832,21.19,112,4.578
4,42.47,21.378,113,4.574
4,42.146,21.533,114,3.722
4,42.139,21.522,115,4.707
4,43.084,21.481,116,4.582
4,43.319,21,117,3.62
4,42.626,21.503,118,4.708
4,42.709,21.138,119,3.723
4,44.029,21.773,120,4.794
4,43.799,22.254,121,3.722
4,44.049,21.973,122,3.618
4,44.814,21.502,123,2.1
4,44.839,21.067,124,3.621
4,45.372,20.52,125,4.707
4,45.741,18.465,126,4.838
4,45.886,18.187,127,4.814
4,45.839,18.022,128,2.1
4,45.005,17.5,129,2.1
4,45.611,17.861,130,4.708
4,45.226,18.497,131,4.763
4,45.223,18.269,132,4.685
4,45.107,18.429,133,4.794
4,45.107,18.429,134,4.794
4,45.105,18.367,135,2.1
4,45.316,18.909,136,3.619
4,45.681,19,137,3.62
4,45.349,18.543,138,3.722
4,45.839,19.067,139,3.621
4,45.701,19.279,140,4.794
4,45.08,19.38,141,3.722
4,45.689,19.492,142,3.939
4,46.632,19.794,143,4.707
4,46.798,20.335,144,3.618
4,47.118,20.582,145,4.763
4,47.811,21,146,3.619
4,47.781,21.796,147,4.708
4,47,20.736,148,4.708
4,47.368,20.512,149,4.763
4,47.717,20.589,150,4.762
4,48.611,21.451,151,4.794
4,48.362,21.732,152,4.763
4,49.138,22.383,153,4.763
4,49.064,22.064,154,4.74
4,49.372,22.48,155,4.707
4,49.243,21.757,156,4.582
4,50.118,21.582,157,4.763
4,50.516,20.869,158,4.578
4,51.384,20.148,159,4.739
4,51.675,19.833,160,4.578
4,51.632,19.488,161,4.763
4,51.223,19.049,162,4.772
4,51.507,19.543,163,4.707
4,52.072,19.856,164,3.722
4,51.363,20.196,165,3.619
4,51,18.976,166,3.55
4,51.687,19.038,167,2.1
4,51.96,18.614,168,4.763
4,52,19.117,169,3.62
4,52.439,18.762,170,4.683
4,52.53,18.819,171,3.618
4,52.061,18.79,172,4.794
4,51.065,19.168,173,4.794
4,50.887,19.714,174,4.687
4,49.63,20.388,175,3.722
4,50,20.35,176,4.794
4,50.344,20.202,177,4.763
4,50.708,19.826,178,3.722
4,49.986,19.946,179,3.618
4,50.625,19.645,180,4.763
4,50.894,19.886,181,4.74
4,50.994,19.5,182,4.763
4,50.267,19.565,183,4.794
4,49.437,19.174,184,3.722
4,48.193,18.502,185,4.794
4,48.466,17.877,186,4.739
4,48.194,18.29,187,4.815
4,48.401,18.268,188,4.763
5,22.476,17.333,0,4.763
5,22.261,17.014,1,4.763
5,21.914,16.91,2,4.704
5,22.283,16.612,3,2.1
5,22.651,16.485,4,4.705
5,22.426,16.252,5,4.762
5,21.759,16.861,6,4.763
5,21.204,16.781,7,4.708
5,20.991,16.811,8,4.763
5,20.753,16.874,9,4.838
5,20.926,17.149,10,4.685
5,20.982,17.331,11,4.707
5,20.716,16.811,12,4.707
5,20.174,16.292,13,3.722
5,20.118,16.331,14,4.707
5,19.732,16.599,15,4.763
5,20.178,16.626,16,4.794
5,19.864,15.899,17,4.822
5,19.526,15.864,18,4.763
5,20.083,15.556,19,4.705
5,19.92,15.851,20,3.722
5,20.118,16,21,3.912
5,21.047,16.133,22,4.763
5,21.261,16.084,23,4.763
5,21.185,16.336,24,4.708
5,21.474,16.803,25,3.722
5,22.036,16.423,26,3.618
5,22.463,16.85,27,4.763
5,22.861,16.478,28,4.707
5,23.211,16.428,29,3.721
5,23.376,16.336,30,4.707
5,23.411,16.411,31,4.794
5,24.033,15.687,32,4.578
5,23.918,15.253,33,3.969
5,23.729,14.959,34,4.822
5,23.496,14.502,35,3.617
5,23.407,14.619,36,3.721
5,22.794,14.609,37,4.838
5,23.252,14.426,38,4.762
5,23.692,14.273,39,3.966
5,24.194,14.506,40,4.702
5,24.4,14.685,41,4.704
5,25.332,14.963,42,3.616
5,25.403,14.551,43,3.719
5,24.733,14.422,44,4.762
5,25.192,14.315,45,4.704
5,25.319,14.512,46,4.704
5,25.988,14.501,47,4.707
5,25.5,15.003,48,3.617
5,26.022,14.304,49,4.705
5,25.49,13.655,50,3.616
5,25.509,14.447,51,3.72
5,25.593,14.381,52,3.721
5,24.966,14.267,53,4.763
5,24.859,14.313,54,4.763
5,25.327,14.639,55,4.763
5,24.809,14.598,56,4.821
5,24.521,14.698,57,4.839
5,24.008,14.331,58,4.821
5,23.742,14.016,59,4.708
5,24.141,13.982,60,4.708
5,23.822,14.226,61,3.969
5,23.997,14.181,62,3.722
5,23.932,14.636,63,4.705
5,23.991,14.501,64,4.794
5,24.075,15.296,65,4.822
5,24.457,15.651,66,3.722
5,24.613,15.387,67,3.62
5,25.018,15.331,68,4.707
5,25.191,16.07,69,4.74
5,26.038,15.736,70,3.722
5,26,15.5,71,4.708
5,25.828,15.396,72,4.763
5,26.411,15.589,73,4.794
5,26.156,16.542,74,4.707
5,26.201,16.746,75,3.722
5,26.204,16.431,76,4.763
5,26.229,16.394,77,4.705
5,25.716,15.811,78,4.707
5,25.396,16.262,79,4.794
5,26.474,16.208,80,4.763
5,25.857,16.343,81,4.705
5,26.296,16.502,82,3.721
5,26.558,16.684,83,4.794
5,25.333,17.476,84,4.763
5,25.961,17.447,85,4.704
5,26.087,17.273,86,4.763
5,25.224,17.374,87,4.763
5,25.353,17.295,88,4.707
5,26.081,17.249,89,3.722
5,25.786,17.236,90,4.763
5,25.925,18.24,91,4.763
5,25.781,18.281,92,4.705
5,25.084,18.263,93,4.763
5,24.86,17.489,94,2.1
5,24.276,18.21,95,3.722
5,24.134,18.914,96,3.617
5,24.328,19.297,97,4.794
5,24.354,19.503,98,4.704
5,24.423,19.314,99,4.704
5,24.862,19.383,100,4.763
5,25.011,19.5,101,4.762
5,24.92,19.38,102,3.722
5,25.054,19.229,103,4.763
5,25.299,19.279,104,4.794
5,25,20,105,4.74
5,24.861,20.04,106,4.794
5,24.994,19.412,107,4.762
5,25.12,18.491,108,4.763
5,24.422,18.34,109,4.763
5,25.134,17.914,110,3.617
5,25.182,17.838,111,3.617
5,25.858,18.123,112,4.707
5,25.228,18.794,113,4.794
5,24.725,18.512,114,4.762
5,24.22,17.754,115,2.1
5,23.387,17.166,116,4.794
5,23.316,16.968,117,4.794
5,23.798,17.647,118,2.1
5,24.186,17.048,119,3.617
5,23.698,17.082,120,3.722
5,23.842,16.948,121,3.619
5,24.764,16.628,122,4.794
5,23.75,17.33,123,4.794
5,24.032,17.08,124,3.618
5,24.191,17.374,125,2.1
5,23.989,17.5,126,4.762
5,23.851,18.08,127,3.722
5,23.766,18.271,128,3.722
5,23.997,18.181,129,3.722
5,24.437,18.29,130,2.1
5,24.237,17.797,131,3.62
5,24.132,18.126,132,3.722
5,23.481,17.963,133,3.722
5,24.316,17.421,134,4.794
5,24.379,17.125,135,2.1
5,23.795,16.983,136,3.619
5,24.153,16.789,137,3.724
5,23.731,16.643,138,3.619
5,23.444,16.267,139,4.821
5,23.237,15.797,140,3.62
5,23.909,15.665,141,3.722
5,24.277,15.675,142,2.1
5,24.333,15.698,143,4.707
5,24.844,16.009,144,3.619
5,24.319,16,145,3.62
5,25.146,15.047,146,2.1
